Round;Date;Timestamp;Coin;;;
1; 30-3-2021;1617122645;FIL;;;
2;06.04.21;1617705063;TRX;;;
3;13.04.21;1618304014;BNB;;;
4;20.04.21;1618915595;BCH;;;
5;27.04.21;1619507772;ETH;;;
6;04.05.21;1620124331;ETH;;;
7;12.05.21;1620806661;BCH;;;
8;18.05.21;1621330540;ADA;;;
9;25.05.21;1621932798;BUSD;;;
10;01.06.21;1622540154;ADA;;;
11; 8-6-2021;1623134117;FIL;;;
12;16.06.21;1623831784;DOT;;;
13;23.06.21;1624440477;BUSD;;;
14; 30-6-2021;1625042769;TRX;;;
15; 7-7-2021;1625615151;ETH;;;
16;13.07.21;1626138162;BUSD;;;
17; 20-7-2021;1626759712;BUSD;;;
18; 27-7-2021;1627368095;ETH;;;
19; 3-8-2021;1627972546;DOT;;;
20;10.08.21;1628603700;FIL;;;
21;18.08.21;1629292911;XRP;;;
22; 24-8-2021;1629794143;ADA;;;
23;31.08.21;1630427810;BUSD;;;
24;08.09.21;1631058416;FIL;;;
25;15.09.21;1631665022;TRX;;;
26;23.09.21;1632391180;BUSD;;;
27;29.09.21;1632873051;BUSD;;;
28;05.10.21;1633428450;BNB;;;
29;12.10.21;1634013192;DOT;;;
30;25.10.21;1635120754;DOT;;;
31;01.11.21;1635724350;BNB;;;